Player,start,end,ppg,apg,rpg,spg,bpg
Dick Ricketts,1956,1958,9.31,2.11,6.31,0,0
Isaiah Rider,1994,2002,16.71,2.73,3.85,0.65,0.24
Jackie Ridgle,1972,1972,1.78,0.22,0.47,0,0
Luke Ridnour,2004,2015,9.33,4.47,2.26,0.98,0.19
Mel Riebe,1947,1949,10.79,1.45,0,0,0
Bob Riedy,1968,1968,5.7,0.22,2.96,0,0
Jim Riffey,1951,1951,4.29,0.46,1.74,0,0
Antoine Rigaudeau,2003,2003,1.55,0.55,0.73,0.27,0
Tom Riker,1973,1975,2.74,0.29,1.68,0.22,0.07
Bob Riley,1971,1971,1.86,0.14,1.71,0,0
Eric Riley,1994,1999,3.09,0.32,2.58,0.29,0.71
Pat Riley,1968,1976,7.4,1.73,1.62,0.62,0.07
Ron Riley,1973,1976,5.84,1.2,5.18,0.56,0.35
Grant Riller,2021,2021,2.57,0.43,0.14,0.14,0
Rich Rinaldi,1972,1974,4.82,0.88,1.17,0.42,0.08
Mike Riordan,1969,1977,9.91,2.38,2.86,0.82,0.12
Arnie Risen,1949,1958,11.98,1.66,9.73,0,0
Tex Ritter,1949,1951,5.23,0.96,1.91,0,0
Ramon Rivas,1989,1989,1.43,0.11,0.86,0.14,0.04
Austin Rivers,2013,2023,8.49,2.14,2.04,0.7,0.16
David Rivers,1989,1992,3.36,2.47,1.29,0.54,0.09
Doc Rivers,1984,1996,10.85,5.66,3.04,1.81,0.41
Lee Robbins,1948,1949,4.77,0.4,0,0,0
Red Robbins,1968,1975,13.15,1.71,10.5,0.52,0.47
Andre Roberson,2014,2021,4.5,0.86,4.01,0.87,0.65
Anthony Roberson,2006,2009,4.08,0.54,0.75,0.35,0.02
Rick Roberson,1970,1976,9.04,1.4,8.33,0.57,0.5
Terrance Roberson,2001,2001,0,0.33,0.33,0,0
Anthony Roberts,1978,1984,7.78,1.24,3.93,0.42,0.06
Bill Roberts,1949,1950,3.45,0.56,0,0,0
Brian Roberts,2013,2017,6.56,2.3,1.34,0.42,0.06
Fred Roberts,1984,1997,7.29,1.19,2.82,0.5,0.31
Joe Roberts,1961,1968,5.76,0.56,4.93,0,0
Lawrence Roberts,2006,2007,3.84,0.4,3.56,0.51,0.17
Marv Roberts,1972,1977,8.32,1.29,3.91,0.44,0.08
Stanley Roberts,1992,2000,8.52,0.63,5.16,0.37,1.28
Alvin Robertson,1985,1996,13.97,5.04,5.22,2.71,0.41
Oscar Robertson,1961,1974,25.68,9.51,7.5,1.1,0.06
Ryan Robertson,2000,2000,5,0,0,0,0
Tony Robertson,1978,1979,5.45,1.43,1.07,1.09,0.07
Rick Robey,1979,1986,7.55,1.24,4.67,0.45,0.18
Bernard Robinson,2005,2007,4.5,0.98,2.46,0.85,0.12
Chris Robinson,1997,1998,4.61,1.37,1.54,0.62,0.17
Cliff Robinson,1980,1992,17.21,1.99,8.33,1.04,0.7
Clifford Robinson,1990,2007,14.2,2.24,4.57,1.02,1.01
David Robinson,1990,2003,21.06,2.47,10.64,1.41,2.99
Devin Robinson,2018,2019,6.12,0.75,3.12,0.62,0.75
Duncan Robinson,2019,2023,11.17,1.47,2.79,0.5,0.19
Eddie Robinson,2000,2004,6.97,0.91,2.75,0.78,0.33
Flynn Robinson,1967,1974,13.95,3,2.53,0.47,0.04
Glenn Robinson,1995,2005,20.69,2.73,6.09,1.2,0.57
Glenn Robinson III,2015,2021,5.93,0.78,2.55,0.49,0.19
Jackie Robinson,1979,1982,3.77,0.59,1.23,0.36,0.18
Jamal Robinson,2001,2001,1,0.33,1.83,1,0
James Robinson,1994,2001,7.56,1.88,1.73,0.54,0.19
Jerome Robinson,2019,2021,4.55,1.16,1.84,0.45,0.23
Justin Robinson,2020,2022,2.6,1.12,0.77,0.28,0.05
Larry Robinson,1991,2002,4.49,0.92,1.88,0.63,0.04
Mitchell Robinson,2019,2023,8.28,0.61,7.76,0.87,1.92
Nate Robinson,2006,2016,11.01,2.95,2.34,0.88,0.07
Oliver Robinson,1983,1983,2.89,0.6,0.49,0.11,0.06
Orlando Robinson,2023,2023,3.9,0.72,4.07,0.41,0.41
Ronnie Robinson,1974,1975,6.07,0.74,4.28,0.35,0.12
Rumeal Robinson,1991,1997,7.58,3.51,1.8,0.9,0.16
Sam Robinson,1971,1972,9.13,1.19,4.07,0,0
Thomas Robinson,2013,2017,4.88,0.61,4.81,0.51,0.35
Truck Robinson,1975,1985,15.53,1.75,9.41,0.69,0.66
Wayne Robinson,1981,1981,7.94,1.38,3.63,0.57,0.3
Wil Robinson,1974,1974,8.64,2.93,1.76,1.13,0.2
Jeremiah RobinsonEarl,2022,2023,7.27,1.02,5.09,0.59,0.31
Bill Robinzine,1976,1982,10.47,1.06,6.07,1.06,0.16
Dave Robisch,1972,1984,11.38,1.78,6.64,0.5,0.48
Isaiah Roby,2020,2023,7.68,1.43,4.42,0.7,0.52
Red Rocha,1948,1957,10.86,1.97,6.62,0,0
John Roche,1972,1982,11.16,3.92,1.54,0.73,0.14
Gene Rock,1948,1948,0.91,0,0,0,0
Jack Rocker,1948,1948,1.89,0.33,0,0,0
David Roddy,2023,2023,6.6,0.66,2.57,0.48,0.26
Guy Rodgers,1959,1970,11.68,7.75,4.25,0,0
Dennis Rodman,1987,2000,7.34,1.76,13.12,0.67,0.58
Sergio Rodriguez,2007,2017,4.95,3.35,1.49,0.6,0.04
Lou Roe,1996,1997,1.97,0.32,1.39,0.2,0.14
Carlos Rogers,1995,2002,7.37,0.61,4.27,0.43,0.79
Harry Rogers,1976,1976,7.61,0.83,5.33,0.67,0.33
Johnny Rogers,1987,1988,3.64,0.42,1.51,0.19,0.16
Marshall Rogers,1977,1977,3.85,0.38,0.42,0.31,0.12
Rodney Rogers,1994,2005,10.93,1.99,4.48,1,0.52
Roy Rogers,1997,2000,4.76,0.42,3.53,0.19,1.53
Willie Rogers,1969,1969,2.12,0.4,1.18,0,0
Al Roges,1954,1955,7.51,2.13,2.82,0,0
Ken Rohloff,1964,1964,0,0.5,0,0,0
Kenny Rollins,1949,1953,4.86,2.05,1.05,0,0
Phil Rollins,1959,1961,5.07,2.59,2.23,0,0
Ryan Rollins,2023,2023,1.92,0.5,1,0.08,0.08
Tree Rollins,1978,1995,5.41,0.57,5.84,0.44,2.2
Lorenzo Romar,1981,1985,5.95,3.51,1.32,0.84,0.1
Rajon Rondo,2007,2022,9.76,7.92,4.54,1.59,0.13
Jerry Rook,1970,1970,3.04,0.36,1.11,0,0
Sean Rooks,1993,2004,6.24,0.84,3.84,0.34,0.67
Derrick Rose,2009,2023,17.71,5.28,3.26,0.76,0.34
Jalen Rose,1995,2007,14.32,3.82,3.46,0.79,0.34
Malik Rose,1997,2009,6.15,0.84,4.15,0.6,0.36
Rob Rose,1989,1989,0,0,1,0,0
Petey Rosenberg,1947,1947,2.94,0.53,0,0,0
Lennie Rosenbluth,1958,1959,4.17,0.35,1.77,0,0
Hank Rosenstein,1947,1947,6.37,0.6,0,0,0
Dick Rosenthal,1955,1957,6.76,2,4.14,0,0
Quinton Ross,2005,2011,4.07,0.94,2.07,0.57,0.28
Terrence Ross,2013,2023,11.02,1.26,2.8,0.81,0.32
Doug Roth,1990,1990,1.93,0.48,2.86,0.19,0.31
Scott Roth,1988,1990,4.69,1.16,1.27,0.54,0.07
Irv Rothenberg,1947,1949,5.41,0.69,0,0,0
Mickey Rottner,1947,1948,5.4,1.39,0,0,0
Dan Roundfield,1976,1987,14.34,2.04,9.23,0.85,1.43
Giff Roux,1947,1949,4.09,0.32,0,0,0
Ron Rowan,1987,1987,1.71,0.14,0.14,0.57,0
Curtis Rowe,1972,1979,11.65,1.58,7.23,0.47,0.45
Jim Rowinski,1989,1990,2.48,0.22,1.48,0.04,0.09
Derrick Rowland,1986,1986,1.5,0.5,0.5,0,0
Brian Rowsom,1988,1990,5.57,0.57,3.33,0.35,0.28
Brandon Roy,2007,2013,18.82,4.65,4.26,1.03,0.23
Donald Royal,1990,1998,6.27,0.99,2.84,0.49,0.2
Reggie Royals,1975,1975,2,0,0,0,0
Bob Royer,1950,1950,4.69,2.02,0,0,0
Clifford Rozier,1995,1998,4.78,0.57,5.18,0.45,0.65
Terry Rozier,2016,2023,13.64,3.38,3.94,0.95,0.24
Ricky Rubio,2012,2023,10.94,7.44,4.09,1.77,0.13
Guy Rucker,2003,2003,0,0.33,0.33,0,0
Delaney Rudd,1990,1993,3.41,2.17,0.77,0.31,0.02
John Rudd,1979,1979,3.17,0.6,2.88,0.29,0.14
Damjan Rudez,2015,2017,3.29,0.58,0.63,0.21,0.05
John Rudometkin,1963,1965,6.27,0.55,3.15,0,0
Michael Ruffin,2000,2009,1.73,0.6,3.94,0.48,0.47
Trevor Ruffin,1995,1996,9.19,2.88,1.41,0.52,0.04
Paul Ruffner,1971,1976,4.22,0.46,2.95,0.09,0.09
Joe Ruklick,1960,1962,3.49,0.42,2.51,0,0
Jeff Ruland,1982,1993,17.36,3.02,10.17,0.75,0.8
Bob Rule,1968,1975,17.39,1.47,8.27,0.44,0.37
Jerry Rullo,1947,1950,2.85,0.74,0,0,0
Stefano Rusconi,1996,1996,1.14,0.43,0.86,0,0.29
Brandon Rush,2009,2017,6.76,0.97,2.94,0.46,0.54
Kareem Rush,2003,2010,6.4,1.02,1.65,0.43,0.21
Bill Russell,1957,1969,15.08,4.26,22.45,0,0
Bryon Russell,1994,2006,7.92,1.29,3.46,1.04,0.24
Campy Russell,1975,1985,15.82,2.98,4.76,1.05,0.2
Cazzie Russell,1967,1978,15.15,2.25,3.76,0.76,0.11
D'Angelo Russell,2016,2023,17.73,5.67,3.49,1.1,0.3
Frank Russell,1973,1973,3.22,0.65,0.74,0,0
Pierre Russell,1972,1973,3.95,1.02,2.02,0,0
Rubin Russell,1968,1968,5.42,0.27,2,0,0
Walker Russell,1983,1988,2.99,2.26,1.21,0.37,0.06
Walker Russell,2012,2012,3,2.07,0.93,0.64,0.04
Matt Ryan,2022,2023,3.68,0.44,0.76,0.18,0.03
Arvydas Sabonis,1996,2003,11.98,2.05,7.31,0.79,1.05
Domantas Sabonis,2017,2023,15.05,4.1,9.66,0.76,0.46
Robert Sacre,2013,2016,4.16,0.67,3.14,0.3,0.58
Ed Sadowski,1947,1950,15.63,1.82,0,0,0
Kenny Sailors,1947,1951,12.61,2.83,2,0,0
John Salley,1987,2000,6.99,1.22,4.49,0.6,1.31
John Salmons,2003,2015,9.26,2.44,2.91,0.84,0.27
Al Salvadori,1968,1968,3.18,0.24,2.71,0,0
Kevin Salvadori,1997,1998,1.08,0.33,1.15,0.05,0.62
Soumaila Samake,2001,2003,1.45,0.11,1.62,0.04,0.4
Luka Samanic,2020,2021,3.83,0.58,2.17,0.22,0.28
Cheikh Samb,2008,2009,1,0.05,1.41,0.18,0.55
Brandon Sampson,2019,2019,5.07,0.71,1.14,0.57,0.21
JaKarr Sampson,2015,2021,5.22,0.68,2.66,0.39,0.47
Jamal Sampson,2003,2007,1.97,0.36,3.36,0.12,0.44
Ralph Sampson,1984,1992,15.44,2.28,8.8,0.86,1.65
Samardo Samuels,2011,2013,5.85,0.41,3.36,0.35,0.38
Pepe Sanchez,2001,2003,0.53,1.29,0.55,0.42,0.03
Al Sanders,1973,1973,2,0,1.25,0,0
Frankie Sanders,1979,1981,5.1,1,1.9,0.54,0.1
Jeff Sanders,1990,1993,2.04,0.45,1.87,0.33,0.16
Larry Sanders,2011,2017,6.39,0.73,5.65,0.64,1.8
Melvin Sanders,2006,2006,2.56,0.19,1.44,0.31,0
Mike Sanders,1983,1993,7.97,1.36,2.97,0.72,0.32
Tom Sanders,1961,1973,9.57,1.12,6.33,0,0
Ron Sanford,1972,1972,0,0,0,0,0
Daniel Santiago,2001,2005,3.42,0.31,2.13,0.32,0.39
Bob Santini,1956,1956,2.75,0.25,0.75,0,0
Wayne Sappleton,1985,1985,2.91,0.21,2.27,0.21,0.12
Dario Saric,2017,2023,11.07,1.89,5.58,0.58,0.21
Olivier Sarr,2022,2023,6.4,0.76,3.96,0.24,0.72
Jason Sasser,1997,1999,2.14,0.29,1.07,0.36,0
Jeryl Sasser,2002,2003,2.49,0.82,2.33,0.59,0.15
Tomas Satoransky,2017,2022,6.9,4.09,2.88,0.8,0.15
Kenny Satterfield,2002,2003,4.28,2.35,1.27,0.68,0.04
Pep Saul,1950,1955,5.6,1.55,2.04,0,0
Woody Sauldsberry,1958,1966,10.67,1.08,7.83,0,0
Glynn Saulters,1969,1969,2.68,0.5,0.86,0,0
Fred Saunders,1975,1978,5.27,1.07,2.97,0.44,0.18
Don Savage,1952,1957,3.18,0.82,1.82,0,0
Predrag Savovic,2003,2003,3.07,0.81,0.93,0.52,0.04
Alan Sawyer,1951,1951,6.58,0.76,3.67,0,0
Brian Scalabrine,2002,2012,3.07,0.84,1.99,0.3,0.23
Alex Scales,2006,2006,0,0,0,0,0
DeWayne Scales,1981,1984,4.57,0.2,2.86,0.29,0.1
Frank Schade,1973,1973,1.11,1.11,0.67,0,0
Ben Schadler,1948,1948,1.51,0.16,0,0,0
Herm Schaefer,1949,1950,7.58,3.15,0,0,0
Billy Schaeffer,1974,1976,5.85,0.69,2.11,0.38,0.15
Bob Schafer,1956,1957,4.2,1.05,1.26,0,0
Jordan Schakel,2022,2023,1.33,0.17,1.33,0.33,0
Ben Scharnus,1947,1949,1.98,0.37,0,0,0
Marv Schatzman,1950,1950,3.38,1.12,0,0,0
Fred Schaus,1950,1954,12.19,2.88,6.05,0,0
Danny Schayes,1982,1999,7.72,1.14,4.98,0.49,0.74
Dolph Schayes,1950,1964,18.51,3.08,12.08,0,0
Ossie Schectman,1947,1947,8.06,2.02,0,0,0
Steve Scheffler,1991,1997,1.9,0.15,1.03,0.17,0.05
Tom Scheffler,1985,1985,1.33,0.28,1.95,0.21,0.28
Dave Schellhase,1967,1968,2.85,0.82,1.04,0,0
Luke Schenscher,2006,2007,1.77,0.26,1.74,0.1,0.23
Herb Scherer,1951,1952,3.59,0.72,2.38,0,0
Dwayne Schintzius,1991,1999,2.71,0.43,2.47,0.14,0.54
Dale Schlueter,1969,1978,5.34,1.57,5.18,0.26,0.36
Otto Schnellbacher,1949,1949,6.4,1.49,0,0,0
Dick Schnittker,1951,1958,8.32,1.32,3.77,0,0
Russ Schoene,1983,1989,5.14,0.6,2.53,0.42,0.24
Admiral Schofield,2020,2023,3.67,0.64,1.84,0.18,0.12
Dave Scholz,1970,1970,2,0,0,0,0
Milt Schoon,1947,1950,5.98,0.93,0,0,0
Detlef Schrempf,1986,2001,13.87,3.37,6.18,0.75,0.27
Dennis Schroder,2014,2023,14.06,4.67,2.91,0.82,0.13
Howie Schultz,1950,1953,5.28,1.73,3.08,0,0
Dick Schulz,1947,1950,5.57,0.99,0,0,0
Roger Schurig,1968,1968,4.76,0.86,1.38,0,0
John Schweitz,1985,1987,2.59,0.82,1,0,0.05
Luis Scola,2008,2017,11.95,1.61,6.65,0.64,0.3
Fred Scolari,1947,1955,11.26,2.63,2.72,0,0
Alvin Scott,1978,1985,4.93,1.35,3.18,0.64,0.59
Brent Scott,1997,1997,1.19,0.19,0.56,0.06,0.06
Byron Scott,1984,1997,14.07,2.54,2.78,1.14,0.26
Charlie Scott,1971,1980,20.69,4.9,3.97,1.29,0.32
Dennis Scott,1991,2000,12.87,2.06,2.82,0.83,0.31
James Scott,1997,1997,0.12,0.38,0.75,0.25,0
Mike Scott,2013,2021,6.73,0.9,3.11,0.33,0.13
Ray Scott,1962,1972,14.34,2.2,9.84,0,0
Shawnelle Scott,1997,2002,1.8,0.19,2.17,0.13,0.22
Tre Scott,2022,2022,3,0,1,0.5,0.5
Willie Scott,1970,1970,1.62,0.25,0.5,0,0
Paul Scranton,1968,1968,1.8,0.2,3.2,0,0
Jay Scrubb,2021,2022,3.82,0.41,1.36,0.36,0.14
Carey Scurry,1986,1988,4.71,1.07,2.91,1.01,0.79
Dereon Seabron,2023,2023,0.8,0,0.2,0,0
Bruce Seals,1974,1978,8.93,1.03,4.2,0.65,0.6
Shea Seals,1998,1998,1,0,1,0.25,0
Malik Sealy,1993,2000,10.05,1.66,3.22,1.05,0.32
Ed Searcy,1976,1976,1.5,0.25,0,0,0
Kenny Sears,1956,1964,13.9,1.59,7.83,0,0
Wayne See,1950,1950,5.25,2.34,0,0,0
Thabo Sefolosha,2007,2020,5.75,1.38,3.74,1.08,0.42
Rony Seikaly,1989,1999,14.74,1.27,9.47,0.67,1.29
Glen Selbo,1950,1950,3.23,1.77,0,0,0
Josh Selby,2012,2013,2.18,0.89,0.53,0.24,0
Wayne Selden,2017,2022,7.2,1.49,1.99,0.45,0.15
Brad Sellers,1987,1993,6.3,1.09,2.67,0.34,0.62
Phil Sellers,1977,1977,4.5,0.57,0.93,0.5,0
Rollie Seltz,1950,1950,7.82,1.88,0,0,0
Les Selvage,1968,1970,13.45,3.07,2.67,0,0
Frank Selvy,1955,1964,10.83,2.79,3.71,0,0
Jim Seminoff,1947,1950,6.52,2.73,0,0,0
Mouhamed Sene,2007,2009,2.19,0.02,1.6,0.09,0.47
George Senesky,1947,1954,7.17,3.22,3.53,0,0
Alperen Sengun,2022,2023,12,3.18,7.02,0.85,0.93
Kevin Seraphin,2011,2017,5.95,0.58,3.46,0.21,0.72
Ansu Sesay,2002,2005,3.16,0.49,1.76,0.3,0.24
Ramon Sessions,2008,2018,10.33,4.06,2.66,0.68,0.08
Ha SeungJin,2005,2006,1.52,0.07,1.46,0.09,0.28
Tom Sewell,1985,1985,0.95,0.29,0.19,0.14,0.05
Collin Sexton,2019,2023,18.97,3.23,2.89,0.78,0.11
Paul Seymour,1948,1960,9.38,3.76,3.15,0,0
Nick Shaback,1947,1947,4.57,0.55,0,0,0
Lynn Shackelford,1970,1970,2.64,0.5,1.23,0,0
Charles Shackleford,1989,1999,5.36,0.56,4.78,0.39,0.49
Carl Shaeffer,1950,1951,3.11,0.87,1,0,0
Lee Shaffer,1962,1964,16.79,1.18,6.33,0,0
Mustafa Shakur,2011,2014,2.08,1.16,0.88,0.2,0.12
Landry Shamet,2019,2023,9.04,1.68,1.78,0.46,0.15
God Shammgod,1998,1998,3.05,1.8,0.35,0.35,0.05
Earl Shannon,1947,1949,8.63,1.32,0,0,0
Howie Shannon,1949,1950,10.84,2.45,0,0,0
Chuck Share,1952,1960,8.27,1.36,8.37,0,0
Bill Sharman,1951,1961,17.81,2.95,3.93,0,0
Day'Ron Sharpe,2022,2023,5.09,0.67,4.38,0.26,0.54
Shaedon Sharpe,2023,2023,7.89,0.76,2.5,0.41,0.29
Walter Sharpe,2009,2009,1,0,0.38,0,0.25
John Shasky,1989,1991,3.8,0.25,2.79,0.21,0.26
Ron Shavlik,1957,1958,1.25,0,2.88,0,0
Brian Shaw,1989,2003,6.94,4.15,3.38,0.79,0.27
Casey Shaw,1999,1999,0.22,0,0.33,0,0
Marial Shayok,2020,2020,2.75,0.25,1.75,0,0.25
Bob Shea,1947,1947,2.16,0.14,0,0,0
Fred Sheffield,1947,1947,3.36,0.18,0,0,0
Craig Shelton,1981,1982,4.07,0.46,2.39,0.32,0.08
Lonnie Shelton,1977,1986,11.96,2.17,6.15,1.1,0.83
Tornike Shengelia,2013,2014,1.31,0.38,0.87,0.13,0.04
Billy Shepherd,1973,1975,5.73,3.89,1.13,1.07,0.12
Jeff Sheppard,1999,1999,2.22,0.89,1.22,0.17,0
Steve Sheppard,1978,1979,3.46,0.58,1.68,0.21,0.04
Ed Sherod,1983,1983,6.17,4.86,2.33,1.5,0.22
Charley Shipp,1950,1950,4.65,2,0,0,0
Paul Shirley,2003,2005,1.83,0.39,1.06,0.06,0.06
Gene Short,1976,1976,2.47,0.29,1.41,0.24,0.09
Purvis Short,1979,1990,17.35,2.52,4.31,1.04,0.21
Dexter Shouse,1990,1990,0,0.67,0,0.33,0.33
Dick Shrider,1949,1949,0.25,0.5,0,0,0
Gene Shue,1955,1964,14.4,3.73,4.08,0,0
John Shumate,1976,1981,12.33,1.81,7.51,1.02,0.7
Iman Shumpert,2012,2021,7.2,1.83,3.33,1.11,0.26
Alexey Shved,2013,2015,7.41,2.53,1.95,0.6,0.27
Pascal Siakam,2017,2023,16.85,3.48,6.5,0.92,0.66
Jordan Sibert,2019,2019,3,0,0,0,0
Sam Sibert,1973,1973,2.4,0,0.8,0,0
Mark Sibley,1974,1974,1.64,0.46,0.89,0.14,0.04
Jerry Sichting,1981,1990,6.92,3.28,1.37,0.73,0.03
Don Sidle,1969,1972,13.53,1.04,7.97,0,0
Larry Siegfried,1964,1972,10.84,3.55,2.85,0,0
Ralph Siewert,1947,1947,0.95,0.19,0,0,0
Jack Sikma,1978,1991,15.62,3.15,9.77,1.05,0.95
James Silas,1973,1982,16.11,3.84,3.02,1,0.17
Paul Silas,1965,1980,9.4,2.05,9.85,0.63,0.24
Xavier Silas,2012,2018,2.75,0.75,1.5,0.25,0
Garret Siler,2011,2011,2.14,0.14,1.33,0.05,0.19
Mike Silliman,1971,1971,2.53,0.64,1.72,0,0
Chris Silva,2020,2023,2.76,0.51,2.7,0.14,0.4
Wayne Simien,2006,2007,3.31,0.22,1.94,0.29,0.02
Ben Simmons,2018,2023,14.74,7.52,7.82,1.63,0.7
Bobby Simmons,2002,2012,8.99,1.52,3.84,0.85,0.18
Cedric Simmons,2007,2009,2.17,0.19,1.88,0.15,0.43
Connie Simmons,1947,1956,9.8,1.57,6.15,0,0
Grant Simmons,1968,1969,9.03,2.07,2.8,0,0
Johnny Simmons,1947,1947,5.3,0.48,0,0,0
Jonathon Simmons,2016,2019,8.3,1.87,2.41,0.61,0.24
Kobi Simmons,2018,2019,5.94,2.06,1.52,0.55,0.15
Lionel Simmons,1991,1997,12.85,3.3,6.24,1.13,0.8
Miles Simon,1999,1999,0.4,0,0.4,0.2,0
Walt Simon,1968,1974,11.86,2.75,5,0.47,0.12
Marko Simonovic,2022,2023,1.42,0,0.83,0.08,0.08
Anfernee Simons,2019,2023,12.64,2.47,2.26,0.43,0.14
Dickey Simpkins,1995,2002,4.24,0.93,3.63,0.28,0.18
Ralph Simpson,1971,1980,16.72,3.34,3.71,1.37,0.15
Zavier Simpson,2022,2022,11,7.5,5.25,1.25,1
Alvin Sims,1999,1999,2.75,1.25,1,0.5,0
Bob Sims,1962,1968,7.72,2.33,2.75,0,0
Courtney Sims,2008,2009,1.2,0.2,1.2,0,0
Doug Sims,1969,1969,1,0,1,0,0
Henry Sims,2013,2016,7.64,1.04,4.96,0.56,0.47
Jericho Sims,2022,2023,2.91,0.5,4.46,0.29,0.56
Scott Sims,1978,1978,2.5,1.67,1.08,0.25,0
Kyle Singler,2013,2018,6.53,0.76,2.88,0.57,0.31
Sean Singletary,2009,2009,2.43,0.78,0.95,0.3,0
Chris Singleton,2012,2014,4.14,0.62,3.19,0.79,0.39
James Singleton,2006,2012,3.93,0.45,3.74,0.4,0.48
McKinley Singleton,1987,1987,2,0.5,0,0,0
Zeke Sinicola,1952,1954,1.08,0.25,0.17,0,0
Deividas Sirvydis,2021,2022,1.91,0.26,1.52,0.22,0.04
Charlie Sitton,1985,1985,2.12,0.6,1.4,0.16,0.14
Peyton Siva,2014,2014,2.25,1.42,0.58,0.38,0.04
Scott Skiles,1987,1996,11.09,6.47,2.54,0.83,0.05
Al Skinner,1975,1980,9.15,2.75,3.26,0.97,0.41
Brian Skinner,1999,2012,4.73,0.47,4.67,0.42,0.88
Tal Skinner,1975,1976,4.55,1.05,4.19,0.68,0.17
Whitey Skoog,1952,1957,8.21,2.65,3.32,0,0
Jeff Slade,1963,1963,1.33,0,2.33,0,0
Reggie Slater,1995,2003,5.6,0.56,2.97,0.35,0.22
Jim Slaughter,1952,1952,5.25,0.89,5.29,0,0
Jose Slaughter,1983,1983,3.57,0.83,1.08,0.57,0.11
Tamar Slay,2003,2005,2.62,0.47,1.06,0.39,0.06
Donald Sloan,2012,2016,5.45,2.99,2.09,0.38,0.04
Jerry Sloan,1966,1976,14,2.55,7.44,2.15,0.18
Uros Slokar,2007,2007,1.9,0.05,0.7,0.05,0.1
Tom Sluby,1985,1985,2.35,0.52,0.39,0.1,0
Alen Smailagic,2020,2021,3,0.59,1.48,0.21,0.31
Javonte Smart,2022,2022,3,0.94,1.41,0.35,0.18
Keith Smart,1989,1989,1,1,0.5,0,0
Marcus Smart,2015,2023,10.54,4.64,3.56,1.57,0.37
Belus Smawley,1947,1952,12.7,2.28,2.76,0,0
Jack Smiley,1949,1950,6.15,2.53,0,0,0
Adrian Smith,1962,1972,11.33,2.25,2.11,0,0
Al Smith,1972,1976,9.79,5.32,2.57,0.99,0.07
Bill Smith,1962,1962,2.56,0.78,1.78,0,0
Bingo Smith,1970,1980,12.58,2,4.2,0.77,0.3
Bobby Smith,1960,1962,2.85,1.08,2.54,0,0
Charles Smith,1989,1997,14.37,1.41,5.76,0.82,1.4
Charles Smith,1990,1996,2.55,1.58,1.04,0.51,0.04
Charles Smith,1998,2006,5.13,0.87,1.41,0.61,0.49
Chris Smith,1993,1995,5.09,2.8,1.3,0.53,0.25
Chris Smith,2014,2014,0,0,0,0,0
Clinton Smith,1987,1991,2.91,1.07,1.3,0.3,0.02
Craig Smith,2007,2012,7.64,0.8,3.89,0.45,0.23
Deb Smith,1947,1947,1.52,0.12,0,0,0
Dennis Smith Jr,2018,2023,10.35,4.33,2.95,1.14,0.36
Derek Smith,1983,1991,12.82,2.12,3.19,0.65,0.43
Don Smith,1949,1949,0.75,0.25,0,0,0
Don Smith,1975,1975,5.24,0.87,0.56,0.37,0.06
Donta Smith,2005,2006,2.7,0.79,1.08,0.51,0.08
Doug Smith,1992,1996,7.96,1.35,4.17,0.76,0.51
Dru Smith,2023,2023,4.2,1.5,1.8,0.9,0.4
Ed Smith,1954,1954,2.92,0.83,2.67,0,0
Elmore Smith,1972,1979,13.42,1.44,10.61,0.8,2.9
Garfield Smith,1971,1973,3.19,0.42,3.27,0,0
Greg Smith,1969,1976,7.82,1.85,6.2,0.51,0.1
Greg Smith,2012,2016,4,0.28,3.28,0.21,0.4
Ish Smith,2011,2023,7.36,3.81,2.43,0.69,0.25
JR Smith,2005,2020,12.43,2.13,3.15,1,0.21
Jabari Smith,2001,2005,3.05,0.61,1.65,0.34,0.24
Jabari Smith Jr,2023,2023,12.4,1.24,7.07,0.51,0.93
Jalen Smith,2021,2023,7.82,0.62,4.98,0.24,0.71
Jason Smith,2008,2019,6.13,0.74,3.37,0.34,0.66
Jerry Smith,2012,2012,1.4,0.8,1.4,1,0
Jim Smith,1982,1983,2.88,0.61,2.46,0.29,0.67
Joe Smith,1996,2011,10.88,0.98,6.38,0.59,0.84
John Smith,1969,1970,5.95,0.79,8.25,0,0
Josh Smith,2005,2018,14.54,3.12,7.44,1.21,1.92
Keith Smith,1987,1987,3.29,1.02,0.76,0.6,0.07
Ken Smith,1976,1976,4.32,0.37,1.26,0.21,0
Kenny Smith,1988,1997,12.75,5.53,1.97,1.03,0.09
LaBradford Smith,1992,1994,6.66,2.15,1.48,0.78,0.08
Larry Smith,1981,1993,6.69,1.07,9.2,0.79,0.52
Leon Smith,2002,2004,2.2,0.2,2.2,0.33,0.07
Michael Smith,1990,1995,4.95,1.01,1.5,0.15,0.04
Michael Smith,1995,2001,5.63,1.47,7.11,0.8,0.55
Mike Smith,2001,2001,3,0.59,1.29,0.29,0.18
Nolan Smith,2012,2013,3.3,1.15,0.99,0.3,0.05
Otis Smith,1987,1992,10.54,1.84,3.78,1.01,0.5
Pete Smith,1973,1973,0.8,0.2,1.6,0,0
Phil Smith,1975,1983,15.06,3.89,3,1.11,0.25
Randy Smith,1972,1983,16.66,4.6,3.69,1.72,0.07
Reggie Smith,1993,1994,1.5,0.08,1.82,0.24,0.11
Robert Smith,1978,1985,4.96,1.75,1.26,0.52,0.09
